scientific_name,L_value,T_value,F_value,R_value,N_value,S_value
Calamagrostis purpurea,7.0,4.0,7.67,6.0,3.4,0.0
Calamagrostis scotica,8.0,,8.0,6.0,4.0,0.0
Calamagrostis varia,6.78,3.6,5.18,7.9,3.13,0.0
Calamagrostis villosa,5.9,3.71,6.58,2.3,3.0,0.0
Caldesia parnassifolia,7.0,,9.75,6.8,6.25,0.75
Calendula arvensis,7.5,8.29,3.33,7.5,6.0,0.0
Calendula officinalis,7.8,6.8,4.6,6.2,6.0,0.0
Calendula stellata,8.0,11.0,2.0,,1.0,0.0
Calendula suffruticosa,9.0,9.5,1.5,,1.0,0.0
Calendula tripterocarpa,8.0,8.5,3.0,7.0,7.0,0.0
Calepina irregularis,8.0,,3.25,7.3,,0.6
Calicotome infesta,7.2,8.1,3.7,5.2,4.3,0.0
Calicotome spinosa,8.5,9.0,3.0,5.0,4.0,0.0
Calicotome villosa,7.67,9.0,3.0,6.0,3.0,0.0
Calla palustris,6.25,5.2,9.4,6.0,4.33,0.0
Callianthemum anemonoides,,5.0,,,,
Callianthemum coriandrifolium,8.33,1.69,5.5,6.0,4.0,0.0
Callianthemum kernerianum,9.0,3.0,4.0,7.0,5.0,0.0
Callitriche brutia,8.25,6.75,10.25,5.0,4.5,0.5
Callitriche cophocarpa,8.14,,10.32,7.3,5.5,0.0
Callitriche hamulata,7.2,4.0,10.6,4.8,4.5,0.0
Callitriche hermaphroditica,7.12,5.42,11.5,5.0,3.67,0.33
Callitriche lenisulca,8.0,7.0,11.0,8.0,6.0,8.0
Callitriche obtusangula,8.0,7.0,11.25,6.5,6.25,0.75
Callitriche palustris,6.42,4.75,11.0,4.4,4.4,0.0
Callitriche palustris aggr.,7.0,5.0,10.0,5.0,6.0,0.0
Callitriche platycarpa,6.67,5.67,11.0,6.3,6.67,0.0
Callitriche pulchra,6.0,12.0,10.0,7.0,7.0,0.0
Callitriche stagnalis,6.5,,10.57,5.3,4.17,0.6
Callitriche truncata,8.0,7.67,11.25,5.8,5.75,0.0
Calluna vulgaris,7.67,4.57,5.64,1.5,1.38,0.0
Calophaca wolgarica,7.5,5.5,4.75,,,
Caltha palustris,,4.65,8.97,4.8,,0.0
Calystegia sepium,7.83,5.78,7.0,7.0,7.88,0.43
Calystegia silvatica,6.5,9.0,6.0,7.3,7.0,0.0
Calystegia soldanella,8.75,,4.54,7.3,4.4,3.0
Camelina alyssum,7.0,5.68,5.12,5.8,4.2,0.0
Camelina microcarpa,7.44,,3.88,7.3,,0.0
Camelina rumelica,7.5,6.0,4.19,6.3,4.67,0.0
Camelina sativa,7.08,6.57,4.46,6.8,5.2,0.0
Campanula adsurgens,9.0,4.0,1.0,8.0,1.0,
Campanula aizoides,9.0,6.0,4.0,8.0,5.0,0.0
Campanula alliariifolia,,8.0,,,,
Campanula alpestris,7.0,2.0,5.0,4.0,2.0,0.0
Campanula alpina,7.5,2.67,5.42,4.0,2.0,0.0
Campanula arvatica,9.0,4.0,1.0,8.0,1.0,
Campanula barbata,7.0,2.2,5.0,1.3,2.0,0.0
Campanula baumgartenii,6.5,6.0,5.0,5.5,3.0,0.0
Campanula bononiensis,7.0,6.18,3.5,8.0,2.4,0.0
Campanula cantabrica,9.0,3.0,3.0,4.0,1.0,
Campanula carnica,6.0,4.5,6.0,7.0,2.0,0.0
Campanula carpatha,7.0,11.0,3.0,9.0,3.0,0.0
Campanula carpatica,8.0,,6.5,,,
Campanula cenisia,7.5,1.0,4.0,7.5,2.0,0.0
Campanula cervicaria,6.5,5.61,,7.6,3.6,0.0
Campanula cespitosa,9.0,2.67,5.0,8.0,3.0,0.0
Campanula cochleariifolia,7.67,3.0,,8.0,3.0,0.0
Campanula cretica,,,6.0,6.0,3.0,0.0
Campanula delicatula,5.0,11.0,4.0,8.0,6.0,1.0
Campanula dichotoma,7.0,8.0,4.0,5.0,5.0,0.0
Campanula drabifolia,8.0,11.0,2.0,8.3,5.5,1.0
Campanula elatines,7.0,5.5,4.0,3.0,1.0,0.0
Campanula elatinoides,7.0,4.5,4.0,7.0,1.0,0.0
Campanula erinus,8.0,8.8,2.25,7.7,3.75,0.33
Campanula excisa,7.0,2.5,4.0,2.0,2.0,0.0
Campanula fastigiata,8.3,8.2,3.4,6.9,4.9,0.2
Campanula foliosa,6.0,4.0,5.0,7.0,3.0,0.0
Campanula garganica,7.0,7.25,2.5,7.0,1.0,0.0
Campanula glomerata,7.33,5.63,4.08,7.0,3.17,0.0
Campanula hagielia,7.0,11.0,3.0,7.0,4.0,0.0
Campanula herminii,9.0,3.0,6.0,2.0,1.0,0.0
Campanula hierapetrae,8.0,10.0,3.0,8.0,3.0,0.0
Campanula isophylla,7.0,8.0,3.0,7.0,1.0,0.0
Campanula jacquinii,8.0,8.0,3.0,8.0,3.0,0.0
Campanula kladniana,,,7.0,,,
Campanula laciniata,7.0,11.0,3.0,8.0,3.0,2.0
Campanula latifolia,4.81,4.75,6.12,7.7,6.86,0.0
Campanula lingulata,7.0,7.0,4.5,8.0,3.0,0.0
Campanula lusitanica,9.0,7.0,1.0,3.0,2.0,
Campanula macrostachya,8.0,7.0,4.0,7.0,3.0,0.0
Campanula medium,5.0,,5.0,5.5,4.0,0.0
Campanula morettiana,4.0,2.5,4.0,7.0,1.0,0.0
Campanula patula aggr.,,5.35,,6.2,4.29,0.0
Campanula pelviformis,7.0,11.0,3.0,8.0,4.0,0.0
Campanula persicifolia,5.2,5.58,4.6,7.5,3.75,0.0
Campanula petraea,7.0,6.5,4.0,7.0,2.0,0.0
Campanula phrygia,8.2,8.2,3.3,5.1,3.2,0.2
Campanula portenschlagiana,,7.0,,,,
Campanula pulla,8.0,2.0,6.0,8.0,3.0,0.0
Campanula pyramidalis,9.0,8.0,2.0,7.0,1.0,0.0
Campanula radicosa,8.0,2.5,6.3,3.7,3.0,0.0
Campanula raineri,6.0,3.0,4.0,7.0,1.0,0.0
Campanula ramosissima,7.0,,4.5,5.0,4.0,0.0
Campanula rapunculoides,6.17,5.92,4.67,7.2,4.6,0.0
Campanula rapunculus,7.43,6.66,3.39,6.5,3.67,0.0
Campanula rhomboidalis,6.25,3.2,5.0,6.0,6.75,0.0
Campanula romanica,8.2,7.6,4.1,9.0,1.0,0.0
Campanula rotundifolia,,,3.96,,2.03,0.0
Campanula sabatia,7.0,,3.5,7.0,1.5,0.0
Campanula saxatilis,7.0,11.0,2.0,6.0,5.0,1.0
Campanula scheuchzeri,,2.64,4.67,,2.19,0.0
Campanula scutellata,8.0,7.4,3.3,5.9,4.2,0.1
Campanula serrata,,,5.0,,,
Campanula sibirica,7.62,6.8,3.19,7.7,3.0,0.0
Campanula spatulata,7.0,11.0,4.0,7.0,5.0,0.0
Campanula spicata,7.0,6.5,3.0,7.0,3.0,0.0
Campanula stevenii,8.0,5.0,6.25,,,
Campanula thyrsoides,7.67,3.0,5.0,7.0,3.33,0.0
Campanula trachelium,4.44,5.39,5.47,7.8,7.12,0.0
Campanula trichocalycina,4.0,5.5,4.0,5.0,4.0,0.0
Campanula tubulosa,7.0,11.0,3.0,8.0,4.0,0.0
Campanula tymphaea,7.9,3.7,4.3,4.4,3.2,0.0
Campanula versicolor,9.0,8.0,2.0,7.0,1.0,0.0
Campanula zoysii,6.0,2.33,4.0,8.0,1.5,0.0
Camphorosma annua,8.75,6.75,3.5,8.0,1.0,9.0
Camphorosma monspeliaca,8.5,7.83,3.92,8.0,3.5,4.0
Cannabis sativa,7.33,,5.62,6.0,6.8,0.2
Capparis orientalis,7.5,9.33,2.0,8.0,5.5,1.5
Capparis sicula,8.5,9.33,2.33,7.0,4.5,1.5
Capparis spinosa,7.5,9.0,2.5,6.0,6.0,3.0
Capparis spinosa aggr.,,9.0,,,,
Capsella bursa-pastoris,7.38,5.17,4.67,6.1,,0.0
Capsella grandiflora,7.0,7.5,4.0,4.0,3.0,0.0
Capsella orientalis,8.0,4.5,5.75,,,
Capsella rubella,8.33,7.38,1.5,5.0,,0.0
Caragana frutex,8.25,5.12,4.75,,,
Caragana scythica,8.5,5.25,2.75,,,
Caralluma europaea,9.0,12.0,1.0,2.0,1.0,0.0
Cardamine acris,,,7.0,,,
Cardamine alpina,7.5,1.0,7.0,5.0,3.0,0.0
Cardamine amara,,4.48,8.81,6.1,4.68,0.0
Cardamine amporitana,5.0,5.0,7.0,4.0,4.0,0.0
Cardamine asarifolia,7.0,3.67,8.0,4.0,4.0,0.0
Cardamine bellidifolia,7.0,1.0,6.5,4.0,4.0,0.0
Cardamine bulbifera,3.29,5.18,5.25,6.8,6.0,0.0
Cardamine chelidonia,5.0,4.0,7.0,7.0,7.0,0.0
Cardamine crassifolia,7.0,3.0,8.0,5.0,5.0,0.0
Cardamine dentata,5.7,5.58,8.35,6.8,5.0,0.0
Cardamine enneaphyllos,3.75,4.8,5.5,7.0,7.0,0.0
Cardamine flexuosa,,5.53,7.94,,5.57,0.0
Cardamine gallaecica,7.0,5.0,12.0,5.0,4.0,
Cardamine glanduligera,4.0,4.42,6.33,5.5,7.0,0.0
Cardamine glauca,8.0,3.5,4.0,3.0,2.0,0.0
Cardamine graeca,5.75,,6.06,7.0,6.0,0.0
Cardamine granulosa,5.0,6.5,7.0,4.0,5.0,0.0
Cardamine heptaphylla,3.0,4.5,5.0,7.7,6.0,0.0
Cardamine hirsuta,6.5,,,5.4,,0.0
Cardamine impatiens aggr.,5.11,,,7.3,7.38,0.0
Cardamine kitaibelii,3.0,5.5,5.0,7.0,7.0,0.0
Cardamine matthioli,6.58,,8.0,3.8,3.0,0.2
Cardamine nymanii,,,8.0,,,
Cardamine parviflora,7.92,6.32,7.42,7.2,6.4,0.33
Cardamine pentaphyllos,3.0,4.5,5.0,7.0,6.0,0.0
Cardamine plumierii,4.0,3.5,8.0,3.0,6.0,0.0
Cardamine pratensis,,5.25,,5.4,4.6,0.14
Cardamine pratensis aggr.,6.5,4.5,7.0,6.5,5.5,0.5
Cardamine quinquefolia,4.0,5.0,6.5,,,
Cardamine raphanifolia,7.0,4.0,9.0,4.5,4.5,0.0
Cardamine resedifolia,8.0,1.75,5.0,3.0,2.5,0.0
Cardamine rivularis,7.5,2.83,8.25,5.0,1.5,0.0
Cardamine schulzii,,4.0,,,,
Cardamine tenera,4.0,6.5,6.5,,,
Cardamine trifolia,3.0,4.17,5.8,7.8,6.8,0.0
Cardamine waldsteinii,4.0,6.5,5.0,6.0,6.0,0.0
Cardopatium corymbosum,8.5,10.5,2.5,7.5,5.5,0.0
Carduus acanthoides,8.83,,3.86,7.5,7.4,0.2
Carduus acicularis,8.0,8.0,2.5,7.0,6.5,0.0
Carduus affinis,7.0,4.0,3.0,9.0,9.0,0.0
Carduus argentatus,8.0,,4.0,8.0,6.0,0.0
Carduus argyroa,7.0,8.0,3.0,7.0,7.0,0.0
Carduus aurosicus,,3.0,,,,
Carduus bourgeanus,9.0,7.0,1.0,7.0,7.0,
Carduus candicans,7.5,6.8,3.8,6.6,2.6,0.0
Carduus carduelis,6.0,4.0,5.0,5.0,6.0,0.0
Carduus carlinoides,9.0,5.0,1.0,7.0,1.0,0.0
Carduus carpetanus,9.0,5.0,1.0,6.0,4.0,
Carduus cephalanthus,8.5,9.5,4.5,6.0,6.5,3.0
Carduus chrysacanthus,9.0,4.0,2.0,7.0,1.0,0.0
Carduus collinus,7.5,6.67,4.0,6.5,4.5,0.0
Carduus corymbosus,7.0,8.0,3.0,7.0,7.0,0.0
Carduus crispus,7.0,5.59,5.88,6.8,8.57,0.14
Carduus defloratus aggr.,7.53,4.1,3.5,,3.04,0.0
Carduus fasciculiflorus,8.5,9.5,2.0,,7.0,0.0
Carduus hamulosus,8.67,7.25,3.58,8.0,2.0,0.0
Carduus kerneri,8.0,3.25,6.5,,,
Carduus litigiosus,7.5,,3.5,7.0,6.17,0.0
Carduus nigrescens,8.5,6.36,1.83,6.5,5.5,0.0
Carduus nutans,8.0,,3.38,7.9,5.71,0.0
Carduus personata,6.7,3.71,7.33,7.3,7.75,0.0
Carduus pycnocephalus,7.9,7.35,3.3,6.5,6.5,0.0
Carduus sardous,8.0,6.0,4.0,8.0,6.0,0.0
Carduus tenuiflorus,8.75,7.5,2.5,6.0,6.0,0.0
Carduus tmoleus,8.2,5.1,4.3,5.4,2.2,0.0
Carduus uncinatus,8.0,5.75,4.0,,,
Carex acuta,6.94,,9.17,5.9,,0.17
Carex acutiformis,6.72,5.04,9.2,6.5,5.0,0.14
Carex adelostoma,,,8.0,,,
Carex alba,5.42,4.82,4.5,8.0,2.6,0.0
Carex appropinquata,7.86,5.0,9.0,8.2,3.83,0.0
Carex aquatilis,8.5,6.0,9.33,5.5,3.5,0.0
Carex arenaria,7.67,6.0,3.0,3.5,2.0,1.0
Carex asturica,9.0,4.0,5.0,2.0,1.0,
Carex atherodes,7.5,4.88,8.88,7.0,5.0,0.0
Carex atrata,8.19,2.42,5.58,5.6,2.83,0.0
Carex atrofusca,7.67,2.0,8.0,,2.0,0.0
Carex australpina,7.5,3.0,5.0,7.0,3.0,0.0
Carex baldensis,7.5,3.67,3.5,7.0,3.5,0.0
Carex bicolor,7.67,2.06,8.06,,1.5,0.0
Carex bigelowii,7.67,2.67,5.25,1.7,2.33,0.0
Carex binervis,7.5,5.67,6.8,1.8,1.25,0.0
Carex bohemica,7.92,,8.11,6.4,4.6,0.2
Carex brachystachys,5.67,3.25,7.25,7.7,2.33,0.0
Carex brevicollis,6.38,,4.12,6.7,,0.0
Carex brizoides,5.75,5.46,,3.6,3.1,0.1
Carex brunnescens,8.4,2.25,8.33,3.0,1.4,0.0
Carex buekii,7.3,5.38,8.8,6.8,5.25,0.0
Carex bulgarica,,,6.0,,,
Carex buxbaumii,7.57,4.86,8.38,6.5,2.67,0.17
Carex buxbaumii aggr.,7.0,5.5,8.0,7.0,4.0,1.0
Carex canescens,7.47,4.27,9.1,3.0,1.86,0.0
Carex capillaris,8.31,1.69,,7.6,1.86,0.0
Carex capitata,8.0,4.0,8.33,5.5,1.0,0.0
Carex caryophyllea,7.94,,4.22,,2.0,0.0
Carex caudata,8.0,6.0,4.0,9.0,1.0,
Carex cespitosa,6.5,,8.68,5.6,4.0,0.0
Carex chordorrhiza,8.57,,8.94,4.2,2.67,0.0
Carex colchica,8.17,5.75,3.75,2.0,2.0,0.0
Carex cretica,4.0,11.0,9.0,6.0,4.0,0.0
Carex cuprina,7.39,,8.1,6.7,5.62,1.25
Carex curvula,8.8,1.42,4.25,,1.46,0.0
Carex davalliana,8.5,4.5,8.81,7.7,1.83,0.0
Carex demissa,7.86,4.6,8.75,4.0,2.0,0.0
Carex depauperata,5.0,,4.75,7.0,4.8,0.0
Carex depressa,,,5.27,3.3,2.67,0.0
Carex diandra,8.0,5.0,9.0,5.7,2.83,0.0
Carex digitata,3.75,4.92,5.17,6.3,4.14,0.0
Carex digitata aggr.,4.0,5.0,5.0,6.0,6.0,0.0
Carex diluta,8.5,5.5,8.25,,,
Carex dioica,8.64,3.75,8.69,6.0,2.0,0.0
Carex distachya,6.75,,3.25,6.5,2.5,0.0
Carex distans,8.61,,6.84,,3.62,3.89
Carex disticha,7.94,5.19,8.68,6.6,,0.29
Carex divisa,8.0,7.18,7.32,6.8,4.53,2.0
Carex divulsa,6.5,,,5.7,,0.0
Carex durieui,,,8.0,,,
Carex echinata,7.81,5.0,8.44,3.0,2.0,0.0
Carex elata,7.56,5.08,9.64,6.5,4.86,0.14
Carex elongata,4.36,5.07,8.78,6.5,5.5,0.0
Carex ericetorum,6.31,4.72,4.03,,1.86,0.0
Carex extensa,8.5,,7.25,7.3,4.67,5.86
Carex ferruginea,8.0,2.25,5.5,8.0,4.0,0.0
Carex filiformis,6.88,5.5,6.58,8.3,3.8,0.14
Carex fimbriata,7.0,2.33,4.33,2.0,1.0,0.0
Carex firma,9.0,2.0,3.75,9.0,2.0,0.0
Carex flacca,7.15,,6.08,7.3,2.81,0.62
Carex flava,7.81,4.51,8.66,7.8,2.43,0.0
Carex flava aggr.,8.0,5.0,9.0,7.0,2.0,1.0
Carex foetida,8.25,2.2,7.2,3.5,5.0,0.0
Carex frigida,8.75,2.0,8.8,7.3,1.67,0.0
Carex fritschii,6.0,6.83,4.0,4.6,4.0,0.0
Carex fuliginosa,8.0,2.44,6.88,3.0,1.5,0.0
Carex glacialis,8.0,1.5,8.0,7.0,2.0,0.0
Carex glareosa,,,8.0,,,
Carex globularis,7.0,3.75,7.62,,,
Carex grayi,,8.0,,,,
Carex grioletii,3.5,6.0,7.5,6.5,5.0,0.0
Carex halleriana,,,2.79,7.6,2.8,0.0
Carex hartmaniorum,7.29,4.84,7.89,5.0,3.0,0.0
Carex heleonastes,7.5,3.9,8.7,4.3,2.33,0.0
Carex hirta,7.15,5.56,6.38,6.2,,0.14
Carex hispida,7.75,8.75,8.4,,,0.75
Carex holostoma,,,6.0,,,
Carex hordeistichos,8.4,6.58,7.17,7.0,4.75,2.4
Carex hostiana,7.93,4.71,8.69,6.3,2.0,0.0
Carex humilis,7.44,5.59,2.88,8.0,2.57,0.0
Carex idaea,8.0,10.0,9.0,6.0,3.0,0.0
Carex illegitima,5.0,9.5,3.0,6.5,3.0,0.0
Carex kitaibeliana,9.0,4.0,4.0,6.0,1.0,0.0
Carex lachenalii,7.75,1.88,6.85,3.0,2.33,0.0
Carex laevigata,,5.75,9.0,4.6,3.75,0.0
Carex lapponica,,,6.0,,,
Carex lasiocarpa,8.62,4.25,9.06,4.4,2.71,0.0
Carex laxa,,,9.0,,,
Carex lepidocarpa,8.31,4.69,8.77,,1.86,0.17
Carex leporina,7.28,4.43,7.03,3.5,3.25,0.0
Carex limosa,8.62,4.0,9.33,2.7,1.86,0.0
Carex liparocarpos,8.62,6.9,2.62,7.3,1.67,0.0
Carex livida,,,9.0,,,
Carex loliacea,,,8.0,,,
Carex lyngbyei,,,9.0,,,
Carex mabilliana,7.0,8.0,3.0,8.0,3.0,0.0
Carex mackenziei,,,10.0,,,
Carex macrolepis,6.0,5.0,3.0,6.0,2.0,0.0
Carex macrostachys,7.0,6.0,4.0,4.0,5.0,0.0
Carex macrostyla,8.5,2.0,5.67,5.0,2.0,0.0
Carex magellanica,8.0,3.17,8.86,2.5,1.83,0.0
Carex mairei,6.5,6.67,7.5,8.0,3.0,0.0
Carex maritima,8.6,1.4,8.17,7.0,1.8,0.6
Carex melanostachya,7.3,5.88,8.1,6.0,5.0,1.0
Carex michelii,6.57,,4.04,6.3,3.6,0.0
Carex microcarpa,7.0,4.0,7.5,7.0,3.0,0.0
Carex microglochin,8.0,2.25,8.8,,2.0,0.0
Carex montana,5.72,5.07,4.22,5.8,2.5,0.0
Carex mucronata,9.0,3.33,3.0,9.0,1.0,0.0
Carex muricata,6.78,5.33,,5.4,,0.0
Carex muricata aggr.,5.0,5.0,5.0,6.0,5.0,0.0
Carex nigra,,,,,2.1,0.58
Carex norvegica,7.75,2.5,8.2,,2.5,0.0
Carex obtusata,7.25,5.0,4.75,5.0,3.0,0.0
Carex oedipostyla,6.0,8.0,3.5,4.0,3.5,0.0
Carex olbiensis,5.5,8.0,3.5,4.0,3.5,0.0
Carex ornithopoda,7.31,2.42,4.14,8.5,2.57,0.0
Carex pallescens,7.12,4.47,6.08,4.3,3.29,0.0
Carex pallidula,4.0,5.0,5.0,6.0,6.0,0.0
Carex panicea,8.06,4.79,8.07,5.0,3.0,0.57
Carex paniculata,6.67,5.13,9.25,,4.38,0.14
Carex panormitana,6.0,8.0,10.0,5.0,5.0,0.0
Carex parallela,,,8.0,,,
Carex parviflora,8.4,1.8,,,2.6,0.25
Carex pauciflora,8.58,3.25,8.5,1.0,1.0,0.0
Carex pediformis,6.0,5.28,4.5,5.7,4.0,0.0
Carex pendula,,,8.35,6.5,5.88,0.0
Carex pilosa,3.83,5.68,5.21,5.4,5.2,0.0
Carex pilulifera,6.22,5.11,5.22,2.9,3.12,0.0
Carex praecox,8.29,5.88,3.66,6.0,3.8,0.33
Carex praecox aggr.,8.0,6.0,4.0,6.0,4.0,1.0
Carex pseudocyperus,6.79,5.82,9.25,6.3,5.0,0.0
Carex pulicaris,8.0,4.14,8.5,4.0,2.0,0.0
Carex punctata,8.0,,7.67,6.2,3.0,1.6
Carex pyrenaica,8.5,1.0,6.0,2.5,2.5,0.0
Carex randalpina,,6.0,,,,
Carex rariflora,8.0,,9.0,3.0,2.0,0.0
Carex recta,8.0,,9.0,7.0,5.0,3.0
Carex reichenbachii,6.0,6.0,5.0,4.0,5.0,0.0
Carex remota,,,,5.9,,0.0
Carex repens,7.67,6.25,,,4.33,2.0
Carex reuteriana,7.0,4.5,10.0,4.5,5.0,0.0
Carex riparia,6.94,5.81,9.42,6.7,5.43,0.29
Carex rostrata,8.33,4.32,9.85,3.6,2.5,0.0
Carex rotundata,,,9.0,,,
Carex rupestris,8.79,2.11,4.03,6.7,1.83,0.0
Carex salina,,,8.0,,,
Carex saxatilis,8.0,,9.0,7.0,3.0,0.0
Carex secalina,8.0,6.15,7.0,7.0,5.0,3.2
Carex sempervirens,7.5,2.75,4.3,,2.42,0.0
Carex spicata,7.31,5.28,,5.7,4.0,0.0
Carex stenophylla,8.38,,3.06,6.0,2.67,1.5
Carex strigosa,,5.29,7.0,,,0.0
Carex subspathacea,,,10.0,,,
Carex supina,7.5,6.33,2.35,7.0,2.0,0.0
Carex sylvatica,,,5.69,6.6,5.14,0.0
Carex trinervis,8.5,5.0,8.33,4.0,2.0,2.0
Carex umbrosa,,,,,4.06,0.0
Carex vaginata,7.5,2.79,8.06,4.8,2.17,0.0
Carex vesicaria,7.39,4.56,9.35,5.8,4.38,0.14
Carex viridula,8.06,,8.29,6.4,2.38,1.14
Carex vulpina,8.14,5.64,8.22,6.5,5.5,0.29
Carex vulpina aggr.,8.0,6.5,8.0,7.0,6.0,1.0
Carlina acanthifolia,7.83,5.94,4.0,7.0,2.5,0.0
Carlina acaulis,8.22,,4.0,,2.43,0.0
Carlina barnebyana,9.0,11.0,1.0,8.0,4.0,2.0
Carlina corymbosa aggr.,7.0,8.0,2.5,8.0,4.5,0.5
Carlina curetum,8.0,,4.0,7.0,5.0,0.0
Carlina diae,7.0,11.0,2.0,8.0,5.0,2.0
Carlina graeca,8.0,,3.0,7.0,6.0,1.0
Carlina gummifera,8.0,11.0,3.0,7.0,5.5,0.0
Carlina hispanica,9.0,7.0,1.0,6.0,6.0,
Carlina involucrata,9.0,11.0,1.0,1.0,1.0,0.0
Carlina lanata,7.5,8.67,2.5,7.0,5.5,1.0
Carlina macrocephala,8.5,4.0,3.5,3.5,5.0,0.0
Carlina nebrodensis,9.0,5.0,1.0,7.0,1.0,0.0
Carlina racemosa,9.0,9.0,2.0,2.0,1.0,0.0
Carlina sicula,9.0,11.0,1.0,2.0,1.0,0.0
Carlina sitiensis,7.0,,2.0,6.0,5.0,1.0
Carlina tragacanthifolia,8.0,11.0,1.0,9.0,5.0,2.0
Carlina vulgaris aggr.,7.59,4.95,3.91,7.0,2.62,0.0
Caropsis verticillatoinundata,8.0,6.0,9.0,5.0,3.0,0.0
Carpesium abrotanoides,5.5,7.33,7.5,6.0,5.0,0.0
Carpesium cernuum,5.9,6.58,6.45,6.5,7.25,0.0
Carpinus betulus,4.38,5.88,5.38,5.5,5.25,0.0
Carpinus orientalis,4.67,7.42,4.0,7.5,4.5,0.0
Carpobrotus acinaciformis,9.0,9.5,1.5,6.5,5.0,3.0
Carpobrotus edulis,8.75,10.0,2.0,,5.25,3.0
Carrichtera annua,9.0,11.5,1.5,8.5,3.5,0.5
Carthamus boissieri,8.0,11.0,5.0,8.0,6.0,0.0
Carthamus caeruleus,8.5,11.0,5.0,7.5,4.5,0.0
Carthamus carduncellus,8.67,7.5,2.67,6.7,2.33,0.0
Carthamus creticus,8.0,11.0,4.0,8.0,6.0,1.0
Carthamus dentatus,8.0,11.0,5.0,8.0,7.0,0.0
Carthamus lanatus,8.5,8.05,3.5,7.0,5.67,0.0
Carthamus leucocaulos,8.0,11.0,3.0,7.0,6.0,0.0
Carthamus mitissimus,8.0,6.5,2.0,7.5,2.0,0.0
Carthamus pinnatus,9.0,8.0,3.0,6.0,2.0,0.0
Carthamus rechingeri,8.0,11.0,3.0,8.0,7.0,0.0
Carthamus tenuis,8.0,11.0,,,7.0,
Carthamus tinctorius,9.0,9.0,3.0,7.0,7.0,0.0
Carum appuanum,7.0,5.0,2.0,7.0,2.0,0.0
Carum carvi,8.12,4.08,,5.5,,0.67
Carum graecum,8.7,4.4,3.1,5.8,1.8,0.0
Carum heldreichii,7.0,4.0,3.0,7.0,2.0,0.0
Carum verticillatum,7.67,6.67,8.25,3.7,2.0,0.0
Caryopteris incana,,8.0,,,,
Cassiope hypnoides,,,5.0,,,
Cassiope tetragona,,,5.0,,,
Castanea sativa,5.67,8.22,5.33,4.3,4.17,0.0
Castellia tuberculosa,7.5,10.5,2.0,8.0,2.0,1.0
Castroviejoa frigida,6.0,4.0,3.0,1.0,1.0,0.0
Castroviejoa montelinasana,6.0,4.0,3.0,1.0,1.0,0.0
Catabrosa aquatica,8.0,4.31,9.31,6.7,,0.86
Catananche caerulea,8.67,7.5,3.67,7.0,2.0,0.0
Catananche lutea,8.0,9.5,4.0,6.5,4.5,0.0
Catapodium balearicum,8.5,10.5,2.0,8.0,1.5,4.5
Catapodium borgesii,8.0,10.0,5.0,7.0,,0.0
Catapodium marinum,8.5,11.0,4.0,7.5,3.0,3.0
Catapodium rigidum,8.36,7.04,2.57,6.5,,0.2
Catolobus pendulus,7.0,4.5,5.75,,,
Caucalis platycarpos,6.93,,3.68,8.3,4.67,0.0
Cedrus libani,7.0,4.0,5.0,7.0,4.0,0.0
Celtis australis,7.5,8.75,3.5,7.3,4.5,0.0
Celtis planchoniana,7.5,6.25,3.75,,,
Celtis tournefortii,6.0,9.5,3.0,7.5,2.0,0.0
Cenchrus ciliaris,9.0,12.0,2.0,,2.0,0.0
Cenchrus spinifex,9.0,8.5,1.5,8.0,1.5,0.0
Cenolophium denudatum,8.0,4.25,8.25,,,
Centaurea aegialophila,9.0,12.0,3.0,9.0,5.0,3.0
Centaurea aeolica,9.0,10.0,1.0,1.0,1.0,0.0
Centaurea affinis,8.1,5.2,4.0,6.1,2.3,0.0
Centaurea alba aggr.,8.0,4.0,3.0,7.0,2.0,0.0
Centaurea ambigua,7.0,5.0,3.0,7.0,2.0,0.0
Centaurea appendicata,8.5,5.25,4.75,,,
Centaurea arenaria aggr.,9.0,8.0,1.0,7.0,1.0,0.0
Centaurea argentea,7.0,11.0,2.33,8.0,3.0,1.0
Centaurea aspera,8.83,8.44,2.33,7.0,5.17,0.0
Centaurea atropurpurea,7.7,7.0,4.7,6.8,3.2,0.0
Centaurea benedicta,8.0,8.67,4.0,6.8,5.8,0.0
Centaurea breviceps,8.5,5.75,4.75,,,
Centaurea bugellensis,,5.0,,,,
Centaurea busambarensis,8.0,5.0,2.0,7.0,1.0,0.0
Centaurea calcitrapa,8.25,,4.0,6.5,5.56,0.0
Centaurea caprina,8.0,6.25,4.75,,,
Centaurea centauroides,7.0,10.0,2.0,7.0,2.0,0.0
Centaurea cineraria,8.5,9.0,3.0,7.0,6.0,0.0
Centaurea collina,7.5,8.33,3.0,7.0,4.0,0.0
Centaurea cristata,7.0,6.0,3.0,7.0,2.0,0.0
Centaurea cuneifolia,8.3,9.4,3.7,4.4,3.9,0.6
Centaurea debeauxii,7.0,6.0,5.0,4.0,4.0,0.0
Centaurea decipiens,8.0,6.0,,,,0.0
Centaurea dichroantha,9.0,6.0,3.0,7.0,2.0,0.0
Centaurea diffusa,8.54,,3.06,7.6,3.8,0.0
Centaurea diomedea,9.0,10.0,2.0,7.0,1.0,0.0
Centaurea donetzica,8.0,5.25,4.5,,,
Centaurea filiformis,9.0,10.0,1.0,7.0,1.0,0.0
