species,aggregate_species,dataset_1_region,dataset_2_region,evergreen,gymnosperm,shade_tolerance,drought_tolerance,waterlogging_tolerance
Vaccinium smallii,N,East Asia,East Asia,N,N,2.67±0.67,4,2.5±0.5
Vaccinium uliginosum,Y,Europe,North America,Y,N,2.29±0.19,2.21,3.19
Vaccinium vitis idaea,N,Europe,North America,Y,N,2.29±0.19,3.46±0.42,3.19
Veronica fruticans,N,Europe,Europe,Y,N,1.2±0,3.46±0.42,1.04
Viburnum dentatum,N,North America,North America,N,N,4,2,2.5±0.5
Viburnum furcatum,N,East Asia,East Asia,N,N,3.33±0.33,1.5,3
Viburnum lantana,N,Europe,Europe,N,N,1.93±0,3.46±0.42,1.68±0.09
Viburnum lentago,N,North America,North America,N,N,4,2,2.5±0
Viburnum opulus,N,Europe,North America,N,N,2.66±0,2.21,2.06±0.07
Viburnum rufidulum,N,North America,North America,N,N,2,3,3
Weigela hortensis,N,East Asia,East Asia,N,N,1.17±0.17,2.5±0.5,2.5±0.5
Yucca brevifolia,N,North America,North America,Y,N,1.17±0.17,4.95,1.53
Zanthoxylum ailanthoides,N,East Asia,East Asia,N,N,2,4,1
Zanthoxylum clava herculis,N,North America,North America,N,N,2.5,4±0,1
Zelkova serrata,N,East Asia,East Asia,N,N,2.09±0.09,3.35±0.35,1.02±0.02
Zizyphus jujuba,N,East Asia,East Asia,N,N,1.35,4.95,1.53
